model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
SILVERADO T1CCH HD CREW       ,616,595,871,936,1072,1044,406,0,0,0,0,0,7/21/2023,7/20/2023
SILVERADO T1ECF LD DBL        ,111,117,151,181,170,170,115,0,0,0,0,0,7/21/2023,7/20/2023
SILVERADO T1ECH HD DBL        ,140,166,175,219,208,172,72,0,0,0,0,0,7/21/2023,7/20/2023
SILVERADO T1RCF LD REG        ,44,15,25,9,11,24,9,0,0,0,0,0,7/21/2023,7/20/2023
SILVERADO T1RCH HD REG        ,64,56,89,92,156,242,117,0,0,0,0,0,7/21/2023,7/20/2023
SILVERADO 4500/5500           ,128,246,253,92,31,129,206,0,0,0,0,0,7/21/2023,7/20/2023
SPARK M2JC                    ,2,0,1,2,0,0,0,0,0,0,0,0,7/21/2023,7/20/2023
SUBURBAN T1YCF                ,33,50,88,56,79,84,35,0,0,0,0,0,7/21/2023,7/20/2023
TAHOE T1UCF                   ,86,76,126,118,104,155,60,0,0,0,0,0,7/21/2023,7/20/2023
TERRAIN D2UG                  ,51,67,65,53,63,74,46,0,0,0,0,0,7/21/2023,7/20/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,72,39,0,0,0,0,0,7/21/2023,7/20/2023
TRAVERSE C1YC                 ,132,155,212,154,141,145,89,0,0,0,0,0,7/21/2023,7/20/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,7/21/2023,7/20/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,19,0,0,0,0,0,7/21/2023,7/20/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,0,0,0,0,0,7/21/2023,7/20/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,0,0,0,0,7/21/2023,7/20/2023
XT5 C1UL                      ,96,70,92,70,112,83,57,0,0,0,0,0,7/21/2023,7/20/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,0,0,0,0,0,0,7/21/2023,7/20/2023
YUKON T1UGF                   ,25,27,44,62,47,71,38,0,0,0,0,0,7/21/2023,7/20/2023
YUKON XL T1YGF                ,27,38,73,32,47,60,28,0,0,0,0,0,7/21/2023,7/20/2023
ACADIA C1UG                   ,42,64,55,59,69,38,47,32,0,0,0,0,8/20/2023,8/19/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
BLAZER C1UC                   ,56,40,29,51,44,42,52,21,0,0,0,0,8/20/2023,8/19/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-26,-9,0,0,0,0,8/20/2023,8/19/2023
