Canada|GMCL|WESTERN                                           |FLEET     |2023/12/14|2023/12|0000000014|0|0|0|0|GMC T1XX 1500 CREW                                |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|XT5                                               |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|CAMARO                                            |CHEVROLET           |CAR                 |SPORT CAR                |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|CANYON                                            |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |FLEET     |2023/12/14|2023/12|0000000001|0|0|0|0|COLORADO                                          |CHEVROLET           |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |FLEET     |2023/12/14|2023/12|0000000014|0|0|0|0|CHEV T1XX 1500 CREW                               |CHEVROLET           |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|ENVISION                                          |BUICK               |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |FLEET     |2023/12/14|2023/12|0000000001|0|0|0|0|TRAILBLAZER                                       |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |FLEET     |2023/12/14|2023/12|0000000001|0|0|0|0|SAVANA                                            |GMC                 |TRUCK               |VAN/MPV                  |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|SUBURBAN T1XX                                     |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|ESCALADE T1XX                                     |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000005|0|0|0|0|ENCORE GX                                         |BUICK               |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |FLEET     |2023/12/14|2023/12|0000000001|0|0|0|0|ENCLAVE                                           |BUICK               |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|SIERRA T1XX REG                                   |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000005|0|0|0|0|GMC T1XX CREW                                     |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
