"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP_RNV"|"DSC_OPR_REG"|QTY_LIC_DAY
"BRAZIL"|"2023-12-06"|"12"|"BUS"|"Rio de janeiro"|28
"BRAZIL"|"2023-12-07"|"12"|"TRUCKS"|"Sao paulo"|55
"BRAZIL"|"2023-12-07"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|151
"BRAZIL"|"2023-12-07"|"12"|"TRUCKS"|"Interior paulista b"|25
"BRAZIL"|"2023-12-07"|"12"|"BUS"|"Espirito santo"|3
"BRAZIL"|"2023-10-31"|"10"|"PASSENGER"|"Belem"|597
"BRAZIL"|"2023-10-31"|"10"|"LIGHT COMMERCIAL"|"Interior mg"|244
"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Porto alegre"|360
"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Centro oeste"|420
"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Santa catarina"|344
"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|136
"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Sao paulo"|982
"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Interior paulista a"|388
"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Interior paulista a"|1058
"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Brasilia"|194
"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|150
"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Interior paulista a"|454
"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Sao paulo"|962
"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Recife"|558
"BRAZIL"|"2023-11-23"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|91
"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|103
"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|188
"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Sao paulo"|1887
"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Porto alegre"|380
"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Centro oeste"|450
"BRAZIL"|"2023-11-24"|"11"|"LIGHT COMMERCIAL"|"Rio de janeiro"|53
"BRAZIL"|"2023-11-08"|"11"|"TRUCKS"|"Sao paulo"|46
"BRAZIL"|"2023-11-30"|"11"|"TRUCKS"|"Interior mg"|32
"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Porto alegre"|376
"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Interior paulista a"|391
"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Recife"|268
"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|161
"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Porto alegre"|279
"BRAZIL"|"2023-11-23"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|200
"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Brasilia"|181
"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|135
"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Centro oeste"|375
"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Centro oeste"|361
"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|151
"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Porto alegre"|113
"BRAZIL"|"2023-11-14"|"11"|"LIGHT COMMERCIAL"|"Parana"|154
"BRAZIL"|"2023-11-14"|"11"|"TRUCKS"|"Recife"|26
"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Porto alegre"|285
"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Rio de janeiro"|359
"BRAZIL"|"2023-11-09"|"11"|"TRUCKS"|"Santa catarina"|42
"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|168
"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Belem"|383
"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|82
"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|68
"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Espirito santo"|91
"BRAZIL"|"2023-11-27"|"11"|"LIGHT COMMERCIAL"|"Brasilia"|42
"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Parana"|408
"BRAZIL"|"2023-11-08"|"11"|"PASSENGER"|"Sao paulo"|1361
"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|257
